Number,Timestamp,Gender,Age,Breed,Household Cats,Housing,Area,Ext,Obs,Shy,Calm,Scared,Intelligent,Vigilent,Persistent,Affectionate,Friendly,Solitary,Rough,Dominant,Aggressive,Impulsive,Predictable,Distracted,Abundance,PredBirds,PredMamm,Additional Comments
2734,721,2,2,5,1,1,2,1,2,1,4,4,2,2,4,4,4,1,1,1,1,1,3,4,0,0,0,292
509,1399,1,3,5,5,2,1,2,3,4,5,1,5,5,4,5,1,3,1,3,1,4,4,2,2,2,3,91
1614,573,2,3,5,0,3,0,2,3,4,4,4,4,4,3,4,2,4,1,1,2,1,3,2,1,2,2,292
590,493,2,3,5,0,2,1,2,2,4,5,4,4,4,4,3,2,4,1,2,2,2,2,3,2,1,2,292
87,586,2,2,5,2,0,1,0,3,4,3,2,4,4,4,3,2,1,1,1,2,1,4,3,3,0,0,292
2655,544,2,0,5,0,1,2,2,3,1,4,3,3,4,5,2,5,4,4,3,3,5,4,2,0,0,0,292
3030,1366,2,1,5,1,1,2,1,2,3,4,1,4,4,4,3,2,4,3,4,1,4,1,2,0,0,0,292
1125,683,1,3,5,4,1,2,2,2,2,4,3,5,5,5,3,4,4,3,4,1,1,4,3,2,0,3,287
1648,299,2,1,5,1,3,0,2,2,4,4,3,2,4,4,5,4,3,1,1,1,1,4,4,1,1,1,292
3018,1341,2,1,5,0,1,2,2,2,4,4,3,4,3,4,4,2,3,1,1,2,2,3,4,0,0,0,292
3141,133,1,2,5,0,1,2,0,2,4,2,3,4,5,5,2,4,4,4,3,3,5,4,5,0,0,0,292
273,1296,2,3,5,0,3,1,3,2,5,5,4,3,4,2,2,1,5,3,3,5,4,3,3,2,4,4,292
117,788,1,3,5,1,1,0,0,3,4,3,3,5,4,4,5,4,2,1,2,2,2,4,2,3,0,0,263
1809,165,2,1,5,0,1,2,1,2,3,4,2,4,4,4,4,4,4,2,4,1,3,4,4,1,0,0,292
1174,768,2,3,5,0,2,1,3,2,4,1,1,5,4,4,4,2,3,1,1,1,1,1,1,2,0,0,292
2477,1508,2,1,5,2,0,2,2,3,1,4,2,5,3,3,5,5,1,5,5,4,4,4,4,0,1,1,161
2001,610,1,3,5,1,3,0,1,2,1,2,4,4,4,4,4,4,2,1,1,3,2,3,3,1,0,0,211
538,24,2,1,5,0,2,1,4,2,2,5,3,4,3,4,4,3,4,1,3,4,2,4,2,2,2,2,292
1273,938,2,3,5,0,3,2,2,2,3,1,4,5,5,5,4,2,4,2,5,4,5,1,2,2,0,0,43
2515,151,2,3,5,2,1,1,1,1,2,4,1,4,4,4,3,2,2,2,4,2,2,4,4,0,0,0,292
2042,698,2,3,5,1,1,1,0,2,1,4,1,4,4,4,4,5,2,4,5,3,4,4,4,1,0,0,292
1867,311,2,3,5,2,2,0,0,3,1,3,1,5,5,5,5,4,2,1,4,1,2,2,1,1,0,0,292
269,1178,2,3,5,4,2,1,2,2,5,5,3,4,4,4,5,1,5,1,1,1,3,3,2,2,4,4,144
1962,549,2,3,5,1,3,2,1,2,3,2,1,3,3,3,3,1,1,1,1,1,1,3,3,1,0,0,292
353,1062,1,1,5,0,2,0,3,2,4,3,2,4,5,5,4,1,4,2,4,4,2,5,2,2,3,3,292
76,551,1,0,5,0,1,2,1,2,4,2,1,4,4,5,5,5,2,1,1,1,4,4,1,3,0,0,292
184,1227,2,1,5,0,0,2,0,3,1,4,2,4,4,3,5,5,3,2,3,2,4,3,2,3,0,0,292
3049,1400,1,3,5,1,1,2,1,3,3,3,5,4,5,4,4,3,4,1,1,2,3,3,3,0,0,0,292
303,501,1,3,5,2,2,1,3,1,2,3,2,2,2,3,1,1,2,3,1,2,3,3,3,2,3,1,292
1256,918,1,3,5,1,2,1,0,2,5,4,4,5,5,4,5,2,2,1,1,2,2,4,2,2,0,0,282
1234,879,1,3,5,0,2,1,1,2,4,4,4,4,4,3,3,1,4,3,3,3,3,3,4,2,0,0,292
1167,745,2,3,5,5,2,1,1,1,3,4,2,4,3,3,4,3,4,2,2,2,2,3,3,2,0,0,292
555,145,2,1,5,5,2,1,3,2,1,4,1,5,2,4,5,5,2,1,3,1,2,4,4,2,1,3,292
649,740,2,3,5,5,3,2,3,2,4,4,1,4,4,4,4,2,1,1,1,1,1,1,1,2,1,3,292
1383,1211,2,3,5,4,3,1,2,2,4,4,4,3,4,4,5,4,2,1,3,3,2,2,3,2,0,0,31
409,580,2,3,5,4,2,1,3,2,2,5,1,4,4,4,1,1,5,5,5,5,5,5,1,2,2,4,292
2843,931,1,2,5,2,1,1,0,2,3,3,2,4,4,4,4,4,4,3,4,2,4,4,4,0,0,0,292
2528,179,1,3,5,0,2,1,0,3,3,3,3,3,3,3,3,2,3,1,3,2,3,3,3,0,0,0,292
3024,1349,1,3,5,3,1,0,0,2,4,5,1,5,3,3,5,2,3,1,1,1,1,5,1,0,0,0,292
2765,790,1,3,5,1,0,1,0,2,1,2,2,4,4,4,4,4,1,1,3,1,1,4,4,0,0,1,135
128,892,1,3,5,1,0,2,0,2,1,2,1,5,4,3,4,4,3,1,3,1,3,3,1,3,0,0,274
700,958,2,2,5,3,2,0,3,2,3,5,1,4,4,5,5,1,1,1,1,1,1,5,5,2,1,2,292
3127,45,1,2,5,0,1,0,1,3,4,2,5,4,5,5,4,2,4,4,4,5,4,5,5,0,0,0,292
2666,564,2,0,5,0,1,0,1,2,1,4,1,3,4,4,5,5,2,1,2,1,2,4,5,0,0,0,292
328,744,1,0,5,5,2,1,2,1,1,3,1,1,1,1,1,3,2,4,4,4,3,3,3,2,3,3,292
2881,1009,2,2,5,0,1,0,0,2,4,4,3,4,4,4,4,4,4,3,3,3,4,4,2,0,0,0,292
1377,1194,2,3,5,0,3,2,2,3,5,4,4,5,3,2,4,4,4,2,2,2,2,2,2,2,0,0,292
325,728,1,2,5,1,2,1,3,1,1,4,4,5,4,5,4,2,2,4,2,2,2,5,2,2,3,3,292
637,692,1,0,5,1,2,1,3,2,1,1,1,5,5,5,5,1,3,1,1,1,1,5,1,2,1,4,292
402,466,2,3,5,2,3,1,3,2,1,2,1,1,2,2,1,4,2,1,2,2,2,3,1,2,2,3,292
1462,1378,1,2,5,2,3,1,2,3,3,3,3,3,3,3,2,3,1,2,3,2,3,2,3,2,0,0,292
1970,562,2,0,5,0,2,2,0,3,2,1,3,4,3,3,3,4,4,5,4,2,2,2,5,1,0,0,292
20,164,1,3,5,0,0,2,0,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3,0,0,292
2454,819,2,2,5,3,1,2,1,2,4,2,1,4,2,4,4,4,1,4,2,1,4,4,4,0,1,1,164
2988,1249,2,3,5,0,1,2,1,2,2,3,2,4,4,4,5,5,4,1,1,3,3,4,3,0,0,0,114
1712,990,1,3,5,0,3,0,3,2,4,5,3,4,4,3,4,2,4,1,3,4,2,2,2,1,1,2,292
1748,1427,2,3,5,1,3,0,0,2,1,4,4,5,5,5,5,5,1,3,2,3,1,5,1,1,1,1,231
417,626,2,3,5,1,2,1,3,2,5,2,2,2,2,2,4,2,5,1,4,3,2,4,1,2,2,2,292
1538,1537,2,3,5,0,3,1,2,2,2,5,4,4,4,2,5,2,2,2,4,4,4,4,5,2,0,1,292
2732,719,1,0,5,1,1,0,3,2,1,2,1,5,5,4,4,4,3,1,3,2,4,2,2,0,0,0,292
439,750,2,3,5,1,2,1,3,2,2,2,3,5,5,4,4,2,2,1,4,3,2,2,2,2,2,2,93
766,1281,1,1,5,0,3,2,4,2,4,4,4,4,4,4,4,3,2,1,1,2,1,1,1,2,1,1,292
1606,138,2,3,5,2,3,2,3,1,3,2,1,4,4,5,3,2,5,3,5,5,5,5,4,1,2,1,292
1500,1475,2,1,5,0,1,0,2,2,1,4,1,5,5,5,4,4,4,4,4,4,3,5,4,2,0,3,292
614,577,1,3,5,2,3,1,2,2,5,5,3,5,5,4,5,2,4,1,1,1,1,3,1,2,1,2,292
177,1188,2,3,5,4,0,1,0,3,1,1,1,3,3,3,3,3,1,2,1,2,2,1,2,3,0,0,292
939,241,2,3,5,0,2,1,2,3,1,2,4,4,4,4,5,4,5,1,5,5,5,5,1,2,0,1,292
636,688,2,3,7,2,2,1,0,3,4,4,2,5,5,4,5,3,3,1,1,1,1,2,1,2,1,1,292
859,56,1,1,7,1,2,1,0,3,3,4,4,5,4,2,4,5,2,2,4,5,5,4,4,2,1,0,292
210,1348,2,2,7,1,1,1,0,3,1,4,1,5,5,5,5,5,1,3,5,2,2,3,3,3,0,0,292
755,1237,2,2,7,1,3,1,2,2,3,4,2,3,4,2,4,4,2,4,3,4,4,4,4,2,1,2,72
282,1448,1,3,7,0,2,1,3,2,2,4,2,5,5,5,5,2,2,1,2,2,5,3,1,2,4,4,292
1798,129,2,3,7,1,1,2,0,2,3,5,4,5,4,2,4,3,4,1,1,3,2,4,2,1,0,0,292
470,937,2,1,7,3,2,1,4,3,3,3,3,3,3,3,5,3,1,3,1,4,4,4,3,2,2,0,292
653,764,1,3,7,1,2,1,2,3,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,0,83
906,184,2,1,7,1,3,0,2,2,2,4,2,5,5,5,5,3,3,1,3,3,3,5,2,2,0,1,292
2391,1513,2,2,7,1,3,2,0,2,4,5,4,4,2,2,5,4,2,1,2,2,2,4,5,1,0,1,292
106,714,2,2,7,0,0,2,0,2,1,4,3,4,3,3,5,5,1,1,3,3,2,3,2,3,0,0,17
2048,705,1,0,7,0,2,1,2,2,2,4,3,4,5,3,5,4,2,1,1,3,2,4,4,1,0,0,207
891,159,2,2,7,2,2,1,0,2,3,5,1,5,5,5,4,3,4,1,1,1,1,1,1,2,0,0,292
3012,1325,1,3,7,1,1,2,1,2,5,4,5,5,4,4,5,3,4,1,1,1,2,2,1,0,0,0,112
2333,1372,2,3,7,2,1,2,2,2,4,5,1,5,5,4,5,4,4,2,4,2,1,2,4,1,0,0,292
679,875,1,3,7,2,2,1,2,2,2,4,4,5,5,5,5,5,2,1,1,4,1,5,2,2,1,4,292
1471,1389,1,3,7,1,1,0,0,2,2,5,4,5,5,4,2,1,2,5,1,2,3,5,4,2,0,0,292
1172,766,2,0,7,2,3,0,1,2,2,4,1,3,3,4,5,4,1,2,3,1,3,3,3,2,0,0,292
2460,935,2,3,7,0,3,0,0,1,2,4,5,3,3,4,2,2,4,4,4,4,4,4,3,0,1,0,163
1489,1440,2,2,7,3,3,0,2,2,1,5,2,5,5,3,4,2,2,4,5,5,5,5,2,2,0,1,292
2500,118,2,3,7,1,1,2,1,2,4,5,3,5,5,4,5,4,2,1,1,2,1,5,4,0,0,0,292
884,136,1,3,7,1,2,1,2,2,1,4,2,5,5,5,5,2,2,2,3,3,3,4,3,2,0,0,292
2741,743,1,3,7,2,3,1,0,2,2,3,2,4,3,4,5,5,1,1,2,4,1,5,3,0,0,0,292
844,1521,1,1,7,5,2,1,2,2,1,2,4,5,5,5,5,5,2,2,2,3,5,5,3,2,1,1,292
1192,802,2,3,7,3,2,1,2,2,4,5,1,5,4,4,5,1,2,1,1,1,1,4,4,2,0,0,292
188,1239,1,3,7,1,0,0,0,2,4,3,1,5,3,4,5,4,1,1,4,2,3,3,3,3,0,0,292
860,1539,2,3,7,0,3,2,3,2,1,3,1,4,5,4,4,4,4,4,5,5,5,2,3,2,1,2,292
852,16,1,3,7,5,3,0,3,1,4,4,5,4,4,4,5,4,5,1,1,1,1,4,4,2,1,1,292
1440,1318,1,1,7,5,2,1,0,3,4,4,4,4,4,3,3,2,4,1,2,3,1,5,3,2,0,0,292
14,137,1,3,7,1,0,2,0,2,1,2,3,2,2,2,2,2,1,1,2,1,1,2,2,3,0,0,284
1410,1262,1,1,7,0,2,2,0,2,1,4,3,5,3,4,4,4,2,2,1,3,1,4,3,2,0,0,292
820,1454,1,3,7,0,2,1,2,2,2,4,3,5,4,4,4,4,3,1,4,4,2,4,3,2,1,1,292
722,1085,1,3,7,1,2,1,2,2,3,3,2,4,5,3,4,2,3,2,4,3,2,4,3,2,1,4,292
1441,1321,2,3,7,5,2,1,1,3,2,2,2,2,2,3,2,1,2,1,1,1,2,2,2,2,0,2,292
1003,399,2,0,7,1,2,1,3,2,2,2,1,4,4,4,4,4,3,2,4,2,4,4,4,2,0,4,292
1064,570,2,2,7,1,1,0,0,2,1,3,1,4,3,5,5,5,1,2,2,2,3,4,3,2,0,0,38
1546,12,2,2,7,0,1,2,0,2,4,3,2,5,3,4,5,3,1,1,2,3,3,4,4,2,0,0,292
1635,162,2,3,7,1,3,2,2,2,5,5,3,3,3,3,2,1,2,1,1,3,2,4,3,1,2,2,292
372,1451,1,3,7,0,3,0,4,1,2,4,1,5,5,4,2,2,4,1,1,2,2,4,2,2,3,2,292
589,474,2,3,7,2,3,2,3,2,1,3,1,5,5,5,5,4,2,2,4,2,1,1,4,2,1,1,292
1707,954,1,3,7,1,2,2,3,1,3,4,5,3,5,4,5,4,2,1,1,2,3,4,3,1,1,2,236
2378,1480,2,0,7,0,1,2,2,2,5,2,3,5,5,3,5,2,5,1,2,3,2,4,3,1,0,0,292
1291,972,1,0,7,1,3,2,2,2,1,2,1,5,5,5,5,5,1,2,2,2,2,3,3,2,0,2,285
826,1474,1,3,7,5,2,2,2,3,4,4,1,1,1,1,1,2,3,1,1,3,4,4,4,2,1,2,66
1087,606,2,0,7,1,2,1,0,2,3,4,3,4,4,4,5,4,2,1,1,2,2,3,3,2,0,0,292
1373,1185,1,3,7,2,3,2,1,2,5,4,3,4,3,3,4,2,1,2,1,1,3,4,3,2,0,1,292
1397,1233,2,1,7,1,1,0,0,3,1,2,3,4,4,4,5,4,2,4,4,4,5,3,2,2,0,0,289
1679,723,2,3,7,1,2,0,1,2,2,3,1,2,2,2,2,2,1,1,2,3,1,2,3,1,1,1,292
812,1429,2,0,7,5,2,1,2,3,2,2,2,5,5,5,5,2,2,3,2,1,2,3,3,2,1,1,292
121,827,2,0,7,0,2,0,0,2,5,4,3,4,5,4,1,1,4,2,4,3,4,4,5,3,0,0,20
694,936,2,3,7,1,3,2,2,2,1,5,1,5,1,5,5,5,5,1,1,1,1,1,1,2,1,1,292
539,27,1,3,7,4,2,1,3,1,3,4,4,4,4,3,4,3,3,1,1,2,1,3,3,2,2,3,292
2129,914,1,1,7,1,1,1,1,2,1,2,1,5,5,5,5,2,1,1,5,4,4,2,4,1,0,0,292
2513,149,1,3,7,1,1,2,1,2,4,3,2,4,4,4,5,2,4,1,2,2,3,2,2,0,0,0,158
484,1140,2,1,7,1,3,1,3,2,4,4,1,4,4,4,4,4,2,1,1,1,1,2,4,2,2,2,292
697,940,2,3,7,2,3,0,2,1,3,3,3,3,2,3,3,3,1,1,1,1,1,3,3,2,1,1,292
2331,1371,1,3,7,2,1,2,2,2,4,3,4,5,4,4,5,4,4,1,2,2,1,2,5,1,0,0,292
2650,534,1,1,7,0,1,2,1,2,1,5,3,5,5,5,5,4,4,1,3,3,1,5,5,0,0,0,292
1537,1536,1,3,7,2,0,1,0,2,2,5,3,5,4,4,5,4,3,3,4,3,4,4,3,2,0,0,247
3114,10,2,1,7,0,2,2,3,1,2,4,2,4,2,4,5,4,2,1,1,2,2,4,5,0,0,0,292
2216,1121,1,2,7,1,1,0,0,3,3,4,3,5,5,5,5,3,1,4,5,3,3,4,5,1,0,0,191
2861,965,1,3,7,1,0,1,0,2,1,5,2,5,4,3,5,4,3,1,1,5,3,3,5,0,0,0,292
2090,824,1,0,7,0,3,1,0,3,2,4,3,4,3,4,5,2,1,1,1,3,1,4,4,1,0,0,292
2683,608,1,3,7,0,2,0,0,2,2,5,4,4,4,3,4,5,2,1,1,3,2,5,3,0,0,0,145
1473,1396,1,3,7,2,3,2,2,2,4,4,2,5,5,4,3,2,4,3,3,4,3,3,2,2,0,0,292
1494,1459,2,0,7,2,3,1,4,2,2,3,3,4,4,5,5,5,2,3,4,1,2,3,4,2,0,1,292
1747,1419,1,1,7,0,2,2,2,2,4,5,2,5,5,4,3,2,5,1,3,5,2,4,3,1,1,1,292
1464,1379,1,0,7,0,1,2,1,2,4,2,3,5,5,5,2,2,3,4,4,3,4,4,5,2,0,0,292
858,54,1,3,7,0,3,1,2,2,5,5,5,3,4,2,1,1,3,1,4,5,1,1,1,2,1,1,292
850,1,2,3,7,1,2,1,3,1,2,3,2,4,4,4,5,5,4,4,5,4,3,4,3,2,1,3,292
2671,575,1,3,7,5,0,2,0,3,4,4,4,5,5,5,5,2,3,1,1,3,2,3,2,0,0,0,292
1404,1251,2,1,7,1,3,2,0,2,3,5,1,5,5,4,5,1,4,2,2,3,4,3,3,2,0,0,1
1439,1316,1,3,7,1,3,0,1,2,2,4,3,4,3,4,4,4,2,1,4,3,2,4,2,2,0,0,260
540,39,2,3,7,2,2,1,3,2,1,4,1,5,5,5,5,5,1,1,1,2,1,3,3,2,2,4,292
2873,991,1,2,7,1,0,2,1,2,2,1,1,5,2,5,5,5,1,2,1,1,4,4,4,0,0,0,127
1447,1334,2,1,7,0,3,1,2,2,2,5,3,5,1,3,5,4,5,1,5,5,5,5,5,2,0,0,291
374,1473,1,3,7,0,2,1,2,1,1,4,2,3,4,4,5,5,2,1,1,2,2,4,3,2,3,3,292
2236,1170,2,3,7,3,1,2,1,2,2,2,1,5,4,5,4,4,3,2,4,2,4,3,3,1,0,0,189
2051,718,2,3,7,1,1,2,2,2,2,4,4,4,4,3,3,4,2,4,4,3,2,4,2,1,0,0,292
3061,1432,1,3,7,4,1,0,2,2,5,4,5,4,5,5,4,4,5,2,2,3,2,2,2,0,0,0,108
1758,1468,1,2,7,0,1,2,2,2,1,5,3,5,5,5,5,4,4,1,1,3,1,1,5,1,1,0,292
2207,1077,1,1,7,2,1,0,1,2,1,5,1,4,1,4,5,5,2,1,1,1,1,5,1,1,0,0,292
3072,1447,1,3,7,1,3,2,0,2,4,2,3,5,5,5,5,4,4,1,1,1,1,4,4,0,0,0,292
1430,1304,2,2,7,0,3,1,2,2,1,5,3,5,4,4,5,5,3,1,1,2,2,4,3,2,0,4,292
671,838,1,3,7,2,3,2,2,2,2,5,1,5,4,4,5,3,2,2,2,1,1,3,2,2,1,2,292
1075,588,2,0,7,1,3,0,2,2,1,3,1,4,3,3,5,5,1,1,2,1,2,5,5,2,0,3,292
465,911,1,3,7,5,3,2,2,3,1,4,1,4,4,4,4,3,1,1,1,1,1,1,1,2,2,1,292
451,841,2,3,7,1,3,2,2,2,4,2,4,4,5,3,4,2,4,1,2,2,2,4,4,2,2,1,292
1096,629,2,3,7,1,3,1,2,1,3,5,1,4,5,3,5,4,3,1,3,5,3,3,2,2,0,0,11
782,1320,2,3,7,1,2,1,2,2,3,4,3,4,3,3,4,4,2,2,2,3,2,2,4,2,1,2,292
301,419,2,2,7,4,2,1,2,2,1,3,2,4,4,4,4,4,1,1,3,1,2,2,2,2,3,4,292
1297,985,1,0,7,0,2,1,1,3,4,4,5,4,3,3,5,2,4,1,3,3,1,1,3,2,0,0,292
2354,1415,1,2,7,1,1,2,2,2,3,5,4,5,5,3,5,5,2,1,1,1,1,2,3,1,0,1,292
533,2,1,3,7,0,2,1,3,1,2,4,2,4,5,4,2,1,5,2,4,5,2,4,2,2,2,2,292
2997,1273,2,0,7,0,3,2,0,3,4,4,3,4,2,2,5,3,4,1,1,3,3,4,4,0,0,0,292
3062,1433,2,0,7,4,1,0,2,2,2,2,2,5,5,5,5,4,3,3,3,3,4,3,4,0,0,0,107
1685,763,1,3,7,0,3,1,2,2,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,1,1,1,292
611,571,1,2,7,0,3,0,3,2,2,2,2,3,3,2,3,2,2,1,1,1,1,2,2,2,1,4,292
1126,684,1,3,7,3,2,1,0,1,1,3,2,5,4,4,5,3,3,3,4,3,3,3,1,2,0,1,292
2374,1470,1,3,7,1,3,2,2,1,4,3,5,5,5,2,2,2,2,5,1,2,1,3,1,1,0,0,292
536,9,1,1,7,1,2,1,2,1,4,4,5,4,5,3,3,2,4,2,2,4,4,5,4,2,2,2,292
241,108,1,3,7,2,2,1,3,1,4,3,5,4,2,4,4,1,5,4,5,5,5,1,2,2,4,4,292
302,444,2,3,7,0,3,1,2,1,1,4,3,4,4,4,4,5,2,3,2,3,2,4,4,2,3,4,292
1217,849,2,2,7,0,3,0,1,3,1,3,3,5,5,5,5,5,1,2,4,4,2,4,2,2,0,1,292
854,31,1,3,7,1,3,0,2,2,4,3,2,5,4,4,5,4,2,2,4,4,3,4,2,2,1,1,292
2804,866,2,2,7,2,1,0,2,3,4,3,2,3,4,4,5,3,3,2,3,2,4,4,5,0,0,0,292
452,863,2,1,7,1,3,1,2,2,2,4,2,4,3,3,5,4,2,2,5,4,4,4,3,2,2,4,292
3026,1354,2,2,7,2,1,2,0,2,1,3,1,4,3,5,2,4,2,3,2,1,3,3,4,0,0,0,292
2705,654,1,2,7,0,3,2,2,1,1,2,1,3,4,5,3,2,3,5,5,5,5,3,3,0,0,0,292
526,1511,2,0,7,5,2,1,3,3,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,292
534,5,2,3,7,1,3,1,3,1,1,1,1,4,5,5,1,1,5,4,4,4,5,1,5,2,2,2,292
1907,423,1,0,7,0,1,0,1,3,2,2,2,4,3,4,4,4,3,4,4,3,2,4,4,1,0,0,292
673,848,1,3,7,0,3,1,3,1,4,4,4,4,4,4,1,2,5,3,4,4,4,1,3,2,1,1,80
1109,655,1,0,7,3,2,2,2,2,1,3,1,4,4,3,5,4,1,1,3,4,3,4,2,2,0,0,292
2966,1207,1,3,7,0,1,2,0,3,2,5,1,2,2,4,5,2,5,1,5,5,1,5,3,0,0,0,292
1241,894,1,3,7,1,3,2,0,2,5,3,2,4,2,3,5,1,5,2,5,4,3,3,3,2,0,0,292
1181,781,2,3,7,1,3,0,3,1,2,4,1,4,3,3,4,3,4,1,1,1,1,3,3,2,0,0,292
1621,967,1,3,7,2,3,0,2,2,1,2,1,1,1,1,2,2,1,2,5,3,4,4,1,1,2,3,292
2706,661,2,3,7,0,1,2,0,2,3,5,3,4,4,3,4,3,4,2,3,3,2,4,4,0,0,0,292
2871,989,1,1,7,2,2,0,0,2,3,5,3,5,4,2,5,4,2,1,1,1,1,4,4,0,0,0,292
535,8,2,1,7,1,2,1,2,1,1,4,2,2,2,2,5,5,2,2,4,1,2,5,4,2,2,2,292
537,14,2,1,7,2,2,1,3,2,4,2,1,4,4,4,4,1,3,4,5,5,5,1,3,2,2,4,292
1305,1002,2,1,7,1,2,2,3,1,1,2,1,1,1,1,3,5,4,5,5,5,5,2,5,2,0,0,292
2769,792,2,2,7,2,2,1,0,2,1,2,1,4,1,5,3,5,1,4,2,1,1,5,5,0,0,0,292
1722,1134,2,3,7,3,1,1,2,3,2,5,1,5,5,3,4,4,2,1,3,1,2,4,3,1,1,1,292
577,363,1,3,7,4,2,2,1,3,2,2,1,5,4,2,5,4,1,1,4,3,2,4,3,2,1,1,292
1124,682,1,0,7,1,2,1,0,2,1,1,1,5,2,4,4,5,2,4,3,2,4,4,4,2,0,0,292
1084,597,2,2,7,0,0,1,0,2,2,2,4,4,5,2,5,5,3,3,3,4,4,4,5,2,0,0,30
560,176,1,3,7,2,2,1,2,3,2,4,5,5,5,5,5,5,2,1,1,1,2,5,2,2,1,3,292
1391,1221,2,0,7,0,1,1,0,2,2,3,4,2,3,5,4,4,2,1,2,3,4,3,4,2,0,0,16
665,801,2,1,7,1,2,1,3,2,1,5,1,5,5,4,4,4,1,1,1,1,1,4,3,2,1,2,292
490,1218,1,3,7,0,3,1,1,3,5,5,4,5,5,5,5,3,5,1,1,5,1,1,1,2,2,2,292
1504,1483,2,3,7,5,2,1,2,3,1,4,1,5,4,4,5,5,3,3,5,3,2,4,2,2,0,0,22
2039,696,1,3,7,3,2,0,0,2,3,3,1,4,3,5,4,5,3,1,3,3,4,3,2,1,0,0,292
2384,1495,2,3,7,0,1,2,1,3,2,5,5,5,5,1,5,4,1,1,1,1,1,5,2,1,0,0,170
112,738,2,2,7,1,3,2,0,1,4,3,1,4,4,4,4,4,2,1,4,1,1,3,3,3,0,0,292
2509,146,2,2,7,0,0,2,1,3,1,4,1,4,4,4,5,4,1,1,1,1,1,1,4,0,0,0,292
777,1297,2,3,7,0,2,1,4,1,5,4,3,2,5,5,4,1,5,1,2,3,3,4,4,2,1,4,70
2486,89,1,0,7,0,1,2,0,3,1,4,3,5,5,4,5,4,3,1,4,3,3,4,4,0,0,0,292
1045,537,1,2,7,0,3,0,2,1,4,4,4,1,3,3,1,2,3,3,3,2,3,3,3,2,0,0,292
1634,134,1,3,7,1,2,1,2,2,3,4,1,1,1,1,3,3,1,2,1,1,1,2,2,1,2,2,292
1238,884,1,3,7,1,2,1,0,3,3,3,2,5,5,5,4,4,4,2,4,3,3,4,4,2,0,0,292
1076,589,2,0,7,0,3,1,0,2,4,2,3,5,5,3,4,2,3,3,3,3,4,4,4,2,0,0,292
756,1250,2,3,7,4,2,1,3,1,1,5,1,5,2,5,5,5,1,1,1,1,1,1,1,2,1,2,71
3131,49,1,3,7,0,3,2,1,2,4,4,3,4,5,3,5,1,3,1,1,1,1,4,3,0,0,1,292
1029,509,2,0,7,2,2,1,0,3,3,3,3,2,2,2,2,1,3,1,3,3,3,2,2,2,0,0,261
2278,1278,2,3,7,0,1,0,1,2,1,4,1,5,4,3,5,5,4,1,1,1,1,4,2,1,0,0,183
2867,976,1,1,7,0,1,2,1,2,4,4,4,5,4,4,5,2,2,1,1,3,1,3,3,0,0,0,292
1350,1124,1,3,7,1,2,1,0,3,5,5,2,4,5,3,4,1,4,2,3,3,4,4,2,2,0,1,292
1594,858,2,3,7,0,3,1,2,2,4,4,1,5,4,5,4,3,4,3,3,2,1,3,4,1,3,3,292
1920,446,1,2,6,0,3,1,0,2,4,4,3,5,5,4,5,4,3,1,3,3,1,3,2,1,0,0,292
2565,309,2,3,6,1,1,2,0,3,2,3,2,5,4,5,4,4,2,1,3,1,4,4,4,0,0,0,152
1209,831,1,0,6,2,3,1,0,2,1,3,1,4,4,4,4,4,1,2,2,1,4,3,4,2,0,0,292
297,286,2,0,6,5,3,1,2,2,2,4,2,3,3,4,5,4,1,1,1,1,1,5,2,2,3,3,292
455,872,1,3,6,1,2,0,2,2,3,4,4,5,5,5,4,2,4,2,3,2,4,4,4,2,2,2,292
2614,436,2,3,6,2,3,1,0,2,1,4,1,5,5,5,5,5,4,1,2,3,2,2,2,0,0,1,292
2953,1173,1,3,6,0,1,2,1,2,3,4,3,5,5,5,5,4,2,2,2,4,4,4,4,0,0,0,292
1460,1376,1,2,6,3,0,1,1,2,1,4,1,5,3,5,5,5,4,1,1,1,1,3,1,2,0,0,292
1247,904,2,2,6,2,1,2,0,2,4,4,1,5,4,5,4,4,1,1,1,1,1,3,3,2,0,0,292
60,450,1,3,6,4,3,1,0,2,2,5,3,4,5,4,5,5,1,5,3,2,1,2,4,3,0,0,292
51,400,2,0,6,5,2,1,0,3,1,3,1,5,4,4,5,3,2,1,5,1,4,2,2,3,0,0,90
119,807,1,2,6,1,2,1,0,1,1,1,1,4,2,4,2,1,5,5,4,2,1,2,1,3,0,0,16
1875,329,1,3,6,5,2,1,2,2,1,2,1,4,4,4,4,4,2,4,2,1,4,3,4,1,0,1,292
1876,332,1,3,6,5,2,1,3,2,2,2,1,5,3,4,5,5,2,3,5,3,3,3,5,1,0,0,221
2569,319,2,3,6,3,3,2,2,3,1,4,1,5,5,5,5,4,1,1,1,1,1,4,5,0,0,0,292
1860,283,1,0,6,0,2,1,0,3,1,5,5,5,5,5,5,2,3,1,1,3,3,5,3,1,0,0,223
2609,408,2,2,6,0,3,2,0,2,1,4,2,4,3,4,3,4,2,1,1,1,1,3,3,0,0,0,292
1142,704,2,0,6,3,3,1,0,2,1,3,1,5,3,4,5,5,1,1,3,1,4,3,4,2,0,0,28
